City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Buala,SB,2022-03-27 01:49:21,-8.145,159.5921,80.35,83,100,11.05
109,Okha,RU,2022-03-27 01:49:22,53.5739,142.9478,30.07,96,100,25.08
110,San Patricio,US,2022-03-27 01:47:12,28.017,-97.5169,73.49,60,29,11.18
111,Marsa Matruh,EG,2022-03-27 01:49:22,31.3525,27.2453,50.2,87,0,4.61
112,Santa Ines,BR,2022-03-27 01:49:23,-3.6667,-45.38,74.32,97,100,3.53
113,Georgetown,MY,2022-03-27 01:49:00,5.4112,100.3354,85.95,82,20,5.99
114,Bredasdorp,ZA,2022-03-27 01:49:23,-34.5322,20.0403,61.11,83,5,8.57
115,Clyde River,CA,2022-03-27 01:49:23,70.4692,-68.5914,-1.97,78,100,10.36
116,Vila Franca Do Campo,PT,2022-03-27 01:49:24,37.7167,-25.4333,61.21,89,100,20.67
117,Tabuk,PH,2022-03-27 01:49:24,17.4189,121.4443,85.71,64,5,3.11
118,Puerto Madero,MX,2022-03-27 01:49:25,14.7208,-92.4215,80.94,72,97,4.9
119,Port Hedland,AU,2022-03-27 01:47:33,-20.3167,118.5667,91.45,49,78,12.66
120,Qasigiannguit,GL,2022-03-27 01:49:25,68.8193,-51.1922,16.05,83,100,5.59
121,Margate,GB,2022-03-27 01:46:23,51.3813,1.3862,48.31,88,3,4.0
122,Hithadhoo,MV,2022-03-27 01:48:30,-0.6,73.0833,82.35,69,8,8.72
123,Zhigansk,RU,2022-03-27 01:49:26,66.7697,123.3711,7.99,95,98,9.95
124,Kavieng,PG,2022-03-27 01:47:23,-2.5744,150.7967,84.0,68,100,3.29
125,Monte Patria,CL,2022-03-27 01:49:27,-30.6919,-70.9467,69.58,57,8,0.56
126,Luderitz,NA,2022-03-27 01:49:27,-26.6481,15.1594,65.14,63,0,7.83
127,Ikom,NG,2022-03-27 01:49:27,5.9667,8.7063,75.92,86,37,2.42
128,Narsaq,GL,2022-03-27 01:49:28,60.9167,-46.05,25.02,76,8,5.44
129,Cumberland,US,2022-03-27 01:49:28,35.0502,-78.8664,55.58,29,0,6.91
130,Zirgan,RU,2022-03-27 01:49:29,53.2222,55.9185,21.33,94,95,11.03
131,Porto Novo,BJ,2022-03-27 01:48:23,6.4965,2.6036,84.02,83,100,6.24
132,Launceston,AU,2022-03-27 01:48:15,-41.45,147.1667,75.61,56,75,16.11
133,Nyurba,RU,2022-03-27 01:49:29,63.2842,118.3319,21.9,93,93,2.33
134,Juegang,CN,2022-03-27 01:49:30,32.3174,121.1855,57.43,63,98,10.22
135,Tiksi,RU,2022-03-27 01:44:47,71.6872,128.8694,-4.74,97,95,2.15
